id,name,slug,description,logo_url,website,is_active,created_at,updated_at
"a2b9e4f0-6d0b-4f7d-446e-7a5a4a3a2a14","The Good Roll","the-good-roll","We make 100% tree-friendly toilet paper and paper towels from bamboo, helping to build toilets in developing countries.","https://example.com/logos/goodroll.png","https://thegoodroll.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"b3c0f5a1-7e1c-4a6e-335f-6a4a3a2a1a03","Repurpose Plastics","repurpose-plastics","We transform post-consumer plastic waste into durable and stylish office accessories, from desk organizers to planters.","https://example.com/logos/repurpose.png","https://repurposeplastics.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"c4d1a6b2-8f2d-4b5f-224a-5a3a2a1a0a92","Solar-Charge Inc.","solar-charge-inc","Designing and manufacturing high-efficiency solar-powered chargers and power banks for the mobile workforce.","https://example.com/logos/solarcharge.png","https://solar-charge.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"d5e2b7c3-9a3e-4c4a-113b-4b2a1a0a9a81","HempTex","hemptex","Pioneers in hemp fiber textiles, offering durable and sustainable fabric alternatives for uniforms, upholstery, and more.","https://example.com/logos/hemptex.png","https://hemptex.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"e6f3c8d4-0b4f-4d3b-002c-3a1a0a9a8a70","Grounded Coffee Co.","grounded-coffee-co","We provide specialty-grade, fair-trade, and organic coffee beans in compostable packaging, roasted fresh for your office.","https://example.com/logos/grounded.png","https://groundedcoffee.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"f7a4d9e5-1c5a-4e2c-ff1d-2b0a9a8a7a6f","Klean Kanteen Corporate","klean-kanteen-corporate","The official B2B partner for Klean Kanteen, providing co-branded, durable stainless steel bottles and cups to reduce single-use waste.","https://example.com/logos/kleankanteen.png","https://kleankanteen-corporate.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"a8b5e0f6-2d6b-4f1d-ee0e-1a9a8a7a6a5e","Patagonia Works","patagonia-works","Providing iconic, durable, and responsibly-made corporate apparel and gear that aligns with your company's values.","https://example.com/logos/patagoniaworks.png","https://patagonia-works.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"b9c6f1a7-3e7c-4a0e-ddfd-0a8a7a6a5a4d","Algae Ink","algae-ink","We create carbon-negative printing ink from algae, offering a revolutionary, non-toxic alternative for packaging and paper products.","https://example.com/logos/algaeink.png","https://algaeink.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"cad7a2b8-4f8d-4b9f-ccec-9a7a6a5a4a3c","Ethique Business","ethique-business","Supplying businesses with solid, plastic-free bar-form personal care products for hotels, gyms, and corporate wellness programs.","https://example.com/logos/ethique.png","https://ethiquebusiness.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
"dbe8b3c9-5a9e-4c8a-bbdb-8a6a5a4a3a2b","FSC Print Co.","fsc-print-co","Your trusted partner for all business printing needs on FSC-certified and 100% recycled paper stock.","https://example.com/logos/fscprint.png","https://fscprint.com",true,"2025-08-30T21:43:00Z","2025-08-30T21:43:00Z"
