id,name,slug,description,parent_id,image_url,icon_url,sort_order,is_active,seo_meta,created_at,updated_at
"6d14b5c6-e7f8-4a9b-8cbd-2a3b4c5d6e7f","Plant-Based Cleaning Solutions","plant-based-cleaning-solutions","Non-toxic, plant-based, and electrolyzed water cleaning agents for commercial use.","5c03a4b5-d6e7-4f8a-9bac-1f2a3b4c5d6e","https://example.com/images/plant-cleaning.jpg","https://example.com/icons/plant-cleaning.svg",1,true,"{""title"": ""Plant-Based Cleaning Solutions"", ""description"": ""Effective cleaning solutions from Evergreen Essentials and AquaPure.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"7e25c6d7-f8a9-4bad-9dce-3b4c5d6e7f8a","Bulk Zero-Waste Personal Care","bulk-zero-waste-personal-care","Solid-form and refillable personal care items for hotels, gyms, and offices.","5c03a4b5-d6e7-4f8a-9bac-1f2a3b4c5d6e","https://example.com/images/bulk-care.jpg","https://example.com/icons/bulk-care.svg",2,true,"{""title"": ""Bulk Zero-Waste Personal Care"", ""description"": ""Plastic-free solutions from brands like Ethique Business.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"8f36d7e8-a9ba-4cbd-8edf-4c5d6e7f8a9b","Recycled & Bamboo Paper Goods","recycled-bamboo-paper-goods","Tree-free paper towels, napkins, and toilet tissue in bulk.","5c03a4b5-d6e7-4f8a-9bac-1f2a3b4c5d6e","https://example.com/images/bamboo-paper.jpg","https://example.com/icons/bamboo-paper.svg",3,true,"{""title"": ""Recycled & Bamboo Paper Goods"", ""description"": ""Sustainable paper goods for high-traffic facilities.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"9a47e8f9-bacb-4dce-9fe0-5d6e7f8a9bac","Food & Beverage Pantry","food-beverage-pantry","Sustainably sourced food and beverage for office pantries and events.","","https://example.com/images/food-beverage.jpg","https://example.com/icons/food-beverage.svg",5,true,"{""title"": ""Food & Beverage Pantry"", ""description"": ""Organic and fair trade options for your business.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"ab58f9a0-cbcd-4ede-80f1-6e7f8a9bacbd","Fair Trade Coffee & Tea","fair-trade-coffee-tea","Bulk fair trade certified coffee beans and tea leaves.","9a47e8f9-bacb-4dce-9fe0-5d6e7f8a9bac","https://example.com/images/fair-trade-coffee.jpg","https://example.com/icons/fair-trade-coffee.svg",1,true,"{""title"": ""Fair Trade Coffee & Tea"", ""description"": ""Ethically sourced coffee and tea for the office.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"bc690ab1-cdde-4fef-9102-7f8a9bacbdce","Bulk Organic Foods & Snacks","bulk-organic-foods-snacks","Healthy and organic snacks and pantry staples available in bulk packaging.","9a47e8f9-bacb-4dce-9fe0-5d6e7f8a9bac","https://example.com/images/organic-snacks.jpg","https://example.com/icons/organic-snacks.svg",2,true,"{""title"": ""Bulk Organic Foods & Snacks"", ""description"": ""Wholesome, organic pantry items from PureHarvest.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"cd7a1bc2-deef-4000-a213-8a9bacbdcedf","Furniture & Commercial Decor","furniture-commercial-decor","Furniture and decor made from reclaimed, recycled, or sustainable materials.","","https://example.com/images/furniture-decor.jpg","https://example.com/icons/furniture-decor.svg",6,true,"{""title"": ""Furniture & Commercial Decor"", ""description"": ""Outfit your space with eco-conscious furniture and decor.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"de8b2cd3-ef00-4111-b324-9bacbdcedf00","Reclaimed & Recycled Furniture","reclaimed-recycled-furniture","Desks, tables, and shelves crafted from reclaimed wood and recycled metals.","cd7a1bc2-deef-4000-a213-8a9bacbdcedf","https://example.com/images/reclaimed-furniture.jpg","https://example.com/icons/reclaimed-furniture.svg",1,true,"{""title"": ""Reclaimed & Recycled Furniture"", ""description"": ""Unique furniture from brands like ReForm Furniture.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"ef9c3de4-f011-4222-c435-0acbdcedf011","Ethical & Handcrafted Decor","ethical-handcrafted-decor","Fair-trade and artisanal decor items for commercial spaces.","cd7a1bc2-deef-4000-a213-8a9bacbdcedf","https://example.com/images/handcrafted-decor.jpg","https://example.com/icons/handcrafted-decor.svg",2,true,"{""title"": ""Ethical & Handcrafted Decor"", ""description"": ""Decor that tells a story, from suppliers like Symbiotic Goods.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"0fa04ef5-0122-4333-d546-1bdcedf01122","Corporate Gifting & Reusables","corporate-gifting-reusables","Thoughtful, sustainable gifts and branded reusable products.","","https://example.com/images/gifting-reusables.jpg","https://example.com/icons/gifting-reusables.svg",7,true,"{""title"": ""Corporate Gifting & Reusables"", ""description"": ""Gifts and reusables that reflect your company's values.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"1ab15fa6-1233-4444-e657-2cedf0112233","Curated Sustainable Gift Sets","curated-sustainable-gift-sets","Ethically-sourced and fair trade gift sets for clients and employees.","0fa04ef5-0122-4333-d546-1bdcedf01122","https://example.com/images/gift-sets.jpg","https://example.com/icons/gift-sets.svg",1,true,"{""title"": ""Curated Sustainable Gift Sets"", ""description"": ""Meaningful gifts from Conscious Corporate and Symbiotic Goods.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"2bc26ab7-2344-4555-f768-3df011223344","Branded Reusable Drinkware","branded-reusable-drinkware","Customizable stainless steel bottles, cups, and tumblers.","0fa04ef5-0122-4333-d546-1bdcedf01122","https://example.com/images/reusable-drinkware.jpg","https://example.com/icons/reusable-drinkware.svg",2,true,"{""title"": ""Branded Reusable Drinkware"", ""description"": ""Reduce single-use waste with products from Klean Kanteen.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"3cd37bc8-3455-4666-0879-4e0112233445","Sustainable Tech & Electronics","sustainable-tech-electronics","Eco-friendly and circular economy solutions for business technology.","","https://example.com/images/sustainable-tech.jpg","https://example.com/icons/sustainable-tech.svg",8,true,"{""title"": ""Sustainable Tech & Electronics"", ""description"": ""Refurbished devices and renewable energy tech.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"4de48cd9-4566-4777-198a-5f1223344556","Refurbished Electronics","refurbished-electronics","Professionally refurbished laptops, phones, and monitors with warranties.","3cd37bc8-3455-4666-0879-4e0112233445","https://example.com/images/refurbished-tech.jpg","https://example.com/icons/refurbished-tech.svg",1,true,"{""title"": ""Refurbished Electronics"", ""description"": ""Reduce e-waste with high-quality devices from Circular Tech.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
"5ef59dea-5677-4888-2a9b-6a2334455667","Solar & Renewable Energy Tech","solar-renewable-energy-tech","High-efficiency solar chargers and power banks for the mobile workforce.","3cd37bc8-3455-4666-0879-4e0112233445","https://example.com/images/solar-tech.jpg","https://example.com/icons/solar-tech.svg",2,true,"{""title"": ""Solar & Renewable Energy Tech"", ""description"": ""Power your devices sustainably with Solar-Charge Inc.""}","2025-08-31T01:08:00Z","2025-08-31T01:08:00Z"
